Experiment,1
Plot title,My experiment

Number of,2
plots

Number of,2001
points

Time,N,Square root of C at cutoff distance
59.8,2.81921,2.79277
59.9,2.81316,2.78651
60,2.80714,2.78027
60.1,2.80112,2.77404
60.2,2.79512,2.76783
60.3,2.78914,2.76163
60.4,2.78317,2.75545
60.5,2.77722,2.74929
60.6,2.77128,2.74314
60.7,2.76536,2.73701
60.8,2.75945,2.73089
60.9,2.75355,2.72479
61,2.74768,2.7187
61.1,2.74181,2.71263
61.2,2.73596,2.70658
61.3,2.73013,2.70054
61.4,2.72431,2.69452
61.5,2.7185,2.68851
61.6,2.71271,2.68252
61.7,2.70694,2.67654
61.8,2.70117,2.67058
61.9,2.69543,2.66463
62,2.68969,2.6587
62.1,2.68397,2.65278
62.2,2.67827,2.64688
62.3,2.67258,2.64099
62.4,2.6669,2.63512
62.5,2.66124,2.62926
62.6,2.65559,2.62342
62.7,2.64996,2.61759
62.8,2.64434,2.61178
62.9,2.63873,2.60598
63,2.63314,2.6002
63.1,2.62756,2.59443
63.2,2.622,2.58868
63.3,2.61645,2.58294
63.4,2.61091,2.57721
63.5,2.60538,2.5715
63.6,2.59987,2.56581
63.7,2.59438,2.56012
63.8,2.58889,2.55446
63.9,2.58342,2.5488
64,2.57797,2.54316
64.1,2.57252,2.53754
64.2,2.56709,2.53193
64.3,2.56168,2.52633
64.4,2.55627,2.52075
64.5,2.55088,2.51518
64.6,2.54551,2.50962
64.7,2.54014,2.50408
64.8,2.53479,2.49855
64.9,2.52945,2.49304
65,2.52413,2.48754
65.1,2.51881,2.48205
65.2,2.51351,2.47658
65.3,2.50823,2.47112
65.4,2.50295,2.46568
65.5,2.49769,2.46024
65.6,2.49244,2.45482
65.7,2.48721,2.44942
65.8,2.48199,2.44403
65.9,2.47677,2.43865
66,2.47158,2.43328
66.1,2.46639,2.42793
66.2,2.46122,2.42259
66.3,2.45606,2.41727
66.4,2.45091,2.41196
66.5,2.44577,2.40666
66.6,2.44065,2.40137
66.7,2.43554,2.3961
66.8,2.43044,2.39084
66.9,2.42535,2.38559
67,2.42027,2.38036
67.1,2.41521,2.37514
67.2,2.41016,2.36993
67.3,2.40512,2.36473
67.4,2.40009,2.35955
67.5,2.39508,2.35438
67.6,2.39008,2.34922
67.7,2.38509,2.34408
67.8,2.38011,2.33895
67.9,2.37514,2.33383
68,2.37018,2.32872
68.1,2.36524,2.32363
68.2,2.36031,2.31854
68.3,2.35539,2.31347
68.4,2.35048,2.30842
68.5,2.34558,2.30337
68.6,2.34069,2.29834
68.7,2.33582,2.29332
68.8,2.33095,2.28831
68.9,2.3261,2.28332
69,2.32126,2.27833
69.1,2.31643,2.27336
69.2,2.31162,2.2684
69.3,2.30681,2.26345
69.4,2.30201,2.25852
69.5,2.29723,2.25359
69.6,2.29246,2.24868
69.7,2.2877,2.24378
69.8,2.28295,2.2389
69.9,2.27821,2.23402
70,2.27348,2.22916
70.1,2.26876,2.2243
70.2,2.26405,2.21946
70.3,2.25936,2.21464
70.4,2.25467,2.20982
70.5,2.25,2.20501
70.6,2.24534,2.20022
70.7,2.24069,2.19544
70.8,2.23604,2.19067
70.9,2.23141,2.18591
71,2.22679,2.18116
71.1,2.22219,2.17642
71.2,2.21759,2.1717
71.3,2.213,2.16698
71.4,2.20842,2.16228
71.5,2.20385,2.15759
71.6,2.1993,2.15291
71.7,2.19475,2.14824
71.8,2.19022,2.14358
71.9,2.18569,2.13894
72,2.18118,2.1343
72.1,2.17667,2.12968
72.2,2.17218,2.12506
72.3,2.16769,2.12046
72.4,2.16322,2.11587
72.5,2.15876,2.11129
72.6,2.1543,2.10672
72.7,2.14986,2.10216
72.8,2.14543,2.09762
72.9,2.14101,2.09308
73,2.13659,2.08855
73.1,2.13219,2.08404
73.2,2.1278,2.07953
73.3,2.12341,2.07504
73.4,2.11904,2.07055
73.5,2.11468,2.06608
73.6,2.11033,2.06162
73.7,2.10598,2.05717
73.8,2.10165,2.05273
73.9,2.09733,2.04829
74,2.09301,2.04387
74.1,2.08871,2.03946
74.2,2.08441,2.03506
74.3,2.08013,2.03067
74.4,2.07585,2.0263
74.5,2.07159,2.02193
74.6,2.06733,2.01757
74.7,2.06309,2.01322
74.8,2.05885,2.00888
74.9,2.05462,2.00455
75,2.05041,2.00024
75.1,2.0462,1.99593
75.2,2.042,1.99163
75.3,2.03781,1.98734
75.4,2.03363,1.98307
75.5,2.02946,1.9788
75.6,2.0253,1.97454
75.7,2.02115,1.97029
75.8,2.017,1.96606
75.9,2.01287,1.96183
76,2.00875,1.95761
76.1,2.00463,1.9534
76.2,2.00052,1.94921
76.3,1.99643,1.94502
76.4,1.99234,1.94084
76.5,1.98826,1.93667
76.6,1.98419,1.93251
76.7,1.98013,1.92836
76.8,1.97608,1.92422
76.9,1.97204,1.92009
77,1.96801,1.91597
77.1,1.96398,1.91186
77.2,1.95997,1.90776
77.3,1.95596,1.90367
77.4,1.95196,1.89959
77.5,1.94797,1.89551
77.6,1.94399,1.89145
77.7,1.94002,1.8874
77.8,1.93606,1.88335
77.9,1.93211,1.87932
78,1.92816,1.87529
78.1,1.92423,1.87127
78.2,1.9203,1.86727
78.3,1.91638,1.86327
78.4,1.91247,1.85928
78.5,1.90857,1.8553
78.6,1.90467,1.85133
78.7,1.90079,1.84737
78.8,1.89691,1.84342
78.9,1.89305,1.83947
79,1.88919,1.83554
79.1,1.88534,1.83162
79.2,1.8815,1.8277
79.3,1.87766,1.82379
79.4,1.87384,1.8199
79.5,1.87002,1.81601
79.6,1.86621,1.81213
79.7,1.86241,1.80826
79.8,1.85862,1.8044
79.9,1.85484,1.80054
80,1.85106,1.7967
80.1,1.8473,1.79286
80.2,1.84354,1.78904
80.3,1.83979,1.78522
80.4,1.83605,1.78141
80.5,1.83231,1.77761
80.6,1.82859,1.77382
80.7,1.82487,1.77004
80.8,1.82116,1.76626
80.9,1.81746,1.7625
81,1.81376,1.75874
81.1,1.81008,1.75499
81.2,1.8064,1.75125
81.3,1.80273,1.74752
81.4,1.79907,1.7438
81.5,1.79542,1.74009
81.6,1.79177,1.73638
81.7,1.78813,1.73268
81.8,1.7845,1.729
81.9,1.78088,1.72532
82,1.77727,1.72164
82.1,1.77366,1.71798
82.2,1.77006,1.71433
82.3,1.76647,1.71068
82.4,1.76289,1.70704
82.5,1.75932,1.70341
82.6,1.75575,1.69979
82.7,1.75219,1.69618
82.8,1.74864,1.69257
82.9,1.74509,1.68898
83,1.74156,1.68539
83.1,1.73803,1.68181
83.2,1.73451,1.67824
83.3,1.73099,1.67467
83.4,1.72749,1.67112
83.5,1.72399,1.66757
83.6,1.7205,1.66403
83.7,1.71701,1.6605
83.8,1.71354,1.65698
83.9,1.71007,1.65346
84,1.70661,1.64995
84.1,1.70316,1.64645
84.2,1.69971,1.64296
84.3,1.69627,1.63948
84.4,1.69284,1.636
84.5,1.68942,1.63254
84.6,1.686,1.62908
84.7,1.68259,1.62562
84.8,1.67919,1.62218
84.9,1.67579,1.61874
85,1.67241,1.61532
85.1,1.66903,1.6119
85.2,1.66565,1.60848
85.3,1.66229,1.60508
85.4,1.65893,1.60168
85.5,1.65558,1.59829
85.6,1.65224,1.59491
85.7,1.6489,1.59153
85.8,1.64557,1.58817
85.9,1.64225,1.58481
86,1.63893,1.58146
86.1,1.63562,1.57811
86.2,1.63232,1.57478
86.3,1.62903,1.57145
86.4,1.62574,1.56813
86.5,1.62246,1.56481
86.6,1.61919,1.56151
86.7,1.61592,1.55821
86.8,1.61266,1.55492
86.9,1.60941,1.55163
87,1.60616,1.54836
87.1,1.60292,1.54509
87.2,1.59969,1.54183
87.3,1.59647,1.53857
87.4,1.59325,1.53533
87.5,1.59004,1.53209
87.6,1.58683,1.52885
87.7,1.58364,1.52563
87.8,1.58045,1.52241
87.9,1.57726,1.5192
88,1.57409,1.516
88.1,1.57092,1.5128
88.2,1.56775,1.50961
88.3,1.56459,1.50643
88.4,1.56144,1.50326
88.5,1.5583,1.50009
88.6,1.55516,1.49693
88.7,1.55203,1.49377
88.8,1.54891,1.49063
